ID;Provincia;Localidad;Codigo postal;Direccion;Margen;Rotulo;Precio gasolina 95 E5;Precio gasolina 98 E5;Precio gasoleo A
112;ALBACETE;MADRIGUERAS;2230;CARRETERA C-3222 KM. 9;D;Q8;1.719;-1;1.659
113;ALBACETE;MAHORA;2240;CAMINO HORTIGOSA, S-N;N;SECADEMA;-1;-1;1.62
114;ALBACETE;MINAYA;2620;CARRERA N-301, 195,2;D;REPSOL;1.799;1.929;1.739
115;ALBACETE;MINAYA;2620;CARRETERA MADRID-CARTAGENA KM. S-N;D;COOPERATIVA VITIVINICOLA SANTIAGO EL MAYOR;-1;-1;1.595
116;ALBACETE;MONTEALEGRE DEL CASTILLO;2650;CALLE CAPATAZ SANTIAGO, 91;D;BODEGAS SANTIAGO APOSTOL;-1;-1;1.539
117;ALBACETE;MONTEALEGRE DEL CASTILLO;2650;CALLE CAPATAZ SANTIAGO, 23;I;LOS CORRALES;1.739;-1;1.719
118;ALBACETE;MOTILLEJA;2200;MEDIO DIA 28;N;SAT MOTILLEJA;-1;-1;-1
119;ALBACETE;MUNERA;2612;CALLE COOPERATIVAS, 4;N;OLEOVINICOLA CAMPOS DE MUNERA S. COOP. DE C-LM;1.579;-1;1.449
120;ALBACETE;MUNERA;2612;CALLE POZO [EL], 106;D;INPEALSA;1.699;-1;1.639
121;ALBACETE;NAVAS DE JORQUERA;2246;CTRA DE LEDANA S-N km S-N;N;COOP SAN GREGORIO;-1;-1;1.565
122;ALBACETE;NERPIO;2530;CR AB-702, 45,6;D;CAMPSA;1.719;1.829;1.709
123;ALBACETE;ONTUR;2652;CRTA.CM km KM297,5;I;REPSOL ;1.669;-1;1.679
124;ALBACETE;ONTUR;2652;CAMINO DE HELLIN S-N;D;ONTALBA S. COOP DE C-LM;-1;-1;1.599
125;ALBACETE;OSSA DE MONTIEL;2611;CARRETERA N 430 KM. 429;I;REPSOL;1.679;-1;1.679
126;ALBACETE;PENAS DE SAN PEDRO;2120;AVENIDA GUARDIA CIVIL, S-N;D;VALERO 24H ENERGIA;1.729;-1;1.679
127;ALBACETE;PETROLA;2692;CARRETERA FUENTEALAMO KM. 36;I;GASOLEOS TURBULA ;1.749;-1;1.699
128;ALBACETE;POZO CANADA;2099;CALLE HERNAN CORTES, S-N;N;POZOTRANS;-1;-1;1.5
